,session_no,src,src_city,src_region,src_country,dest,Hop_No,avg_rtt,IP_Address,City,Region_Name,Country
0,0,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,4,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,0,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,4,203.129.218.109,Hubli,Karnataka,IN
2,0,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,6,61.1.117.54,Bengaluru,Karnataka,IN
3,0,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,24,117.216.207.115,Tanjore,Tamil Nadu,IN
4,0,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,26,142.250.160.26,Chennai,Tamil Nadu,IN
5,0,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,26,216.239.43.135,Chennai,Tamil Nadu,IN
6,0,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,27,142.250.233.143,Mountain View,California,US
7,0,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,27,142.250.71.36,Chennai,Tamil Nadu,IN
0,1,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,2,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,1,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,7,203.129.218.109,Hubli,Karnataka,IN
2,1,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,4,61.1.117.54,Bengaluru,Karnataka,IN
3,1,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,24,117.216.207.115,Tanjore,Tamil Nadu,IN
4,1,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,23,142.250.160.26,Chennai,Tamil Nadu,IN
5,1,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,24,216.239.43.135,Chennai,Tamil Nadu,IN
6,1,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,25,142.250.233.143,Mountain View,California,US
7,1,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,32,142.250.71.36,Chennai,Tamil Nadu,IN
0,2,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,4,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,2,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,8,203.129.218.109,Hubli,Karnataka,IN
2,2,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,5,61.1.117.54,Bengaluru,Karnataka,IN
3,2,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,26,117.216.207.115,Tanjore,Tamil Nadu,IN
4,2,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,23,142.250.160.26,Chennai,Tamil Nadu,IN
5,2,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,24,216.239.43.135,Chennai,Tamil Nadu,IN
6,2,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,26,142.250.233.143,Mountain View,California,US
7,2,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,23,142.250.71.36,Chennai,Tamil Nadu,IN
0,3,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,5,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,3,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,15,203.129.218.109,Hubli,Karnataka,IN
2,3,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,6,61.1.117.54,Bengaluru,Karnataka,IN
3,3,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,24,117.216.207.115,Tanjore,Tamil Nadu,IN
4,3,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,35,142.250.160.26,Chennai,Tamil Nadu,IN
5,3,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,23,216.239.43.135,Chennai,Tamil Nadu,IN
6,3,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,743,142.250.233.143,Mountain View,California,US
7,3,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,175,142.250.71.36,Chennai,Tamil Nadu,IN
0,4,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,6,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,4,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,6,203.129.218.109,Hubli,Karnataka,IN
2,4,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,3,61.1.117.54,Bengaluru,Karnataka,IN
3,4,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,26,117.216.207.115,Tanjore,Tamil Nadu,IN
4,4,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,24,142.250.160.26,Chennai,Tamil Nadu,IN
5,4,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,21,216.239.43.135,Chennai,Tamil Nadu,IN
6,4,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,24,142.250.233.143,Mountain View,California,US
7,4,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,23,142.250.71.36,Chennai,Tamil Nadu,IN
0,5,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,4,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,5,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,6,203.129.218.109,Hubli,Karnataka,IN
2,5,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,5,61.1.117.54,Bengaluru,Karnataka,IN
3,5,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,25,117.216.207.115,Tanjore,Tamil Nadu,IN
4,5,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,23,142.250.160.26,Chennai,Tamil Nadu,IN
5,5,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,20,216.239.43.135,Chennai,Tamil Nadu,IN
6,5,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,25,142.250.233.143,Mountain View,California,US
7,5,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,24,142.250.71.36,Chennai,Tamil Nadu,IN
0,6,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,2,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,6,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,6,203.129.218.109,Hubli,Karnataka,IN
2,6,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,5,61.1.117.54,Bengaluru,Karnataka,IN
3,6,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,26,117.216.207.115,Tanjore,Tamil Nadu,IN
4,6,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,24,142.250.160.26,Chennai,Tamil Nadu,IN
5,6,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,22,216.239.43.135,Chennai,Tamil Nadu,IN
6,6,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,23,142.250.233.143,Mountain View,California,US
7,6,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,19,142.250.233.145,New York City,New York,US
8,6,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,9,23,142.250.71.36,Chennai,Tamil Nadu,IN
0,7,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,4,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,7,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,4,203.129.218.109,Hubli,Karnataka,IN
2,7,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,31,61.1.117.54,Bengaluru,Karnataka,IN
3,7,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,24,117.216.207.115,Tanjore,Tamil Nadu,IN
4,7,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,22,142.250.160.26,Chennai,Tamil Nadu,IN
5,7,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,23,216.239.43.135,Chennai,Tamil Nadu,IN
6,7,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,74,142.250.233.143,Mountain View,California,US
7,7,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,28,142.250.71.36,Chennai,Tamil Nadu,IN
0,8,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,3,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,8,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,4,203.129.218.109,Hubli,Karnataka,IN
2,8,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,4,61.1.117.54,Bengaluru,Karnataka,IN
3,8,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,24,117.216.207.115,Tanjore,Tamil Nadu,IN
4,8,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,27,142.250.160.26,Chennai,Tamil Nadu,IN
5,8,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,22,216.239.43.135,Chennai,Tamil Nadu,IN
6,8,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,24,142.250.233.143,Mountain View,California,US
7,8,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,22,142.250.71.36,Chennai,Tamil Nadu,IN
0,9,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,5,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,9,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,6,203.129.218.109,Hubli,Karnataka,IN
2,9,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,5,61.1.117.54,Bengaluru,Karnataka,IN
3,9,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,24,117.216.207.115,Tanjore,Tamil Nadu,IN
4,9,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,23,142.250.160.26,Chennai,Tamil Nadu,IN
5,9,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,21,216.239.43.135,Chennai,Tamil Nadu,IN
6,9,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,24,142.250.233.143,Mountain View,California,US
7,9,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,23,142.250.71.36,Chennai,Tamil Nadu,IN
0,10,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,3,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,10,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,6,203.129.218.109,Hubli,Karnataka,IN
2,10,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,6,61.1.117.54,Bengaluru,Karnataka,IN
3,10,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,26,117.216.207.115,Tanjore,Tamil Nadu,IN
4,10,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,23,142.250.160.26,Chennai,Tamil Nadu,IN
5,10,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,22,216.239.43.135,Chennai,Tamil Nadu,IN
6,10,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,26,142.250.233.143,Mountain View,California,US
7,10,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,35,142.250.71.36,Chennai,Tamil Nadu,IN
0,11,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,4,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,11,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,4,203.129.218.109,Hubli,Karnataka,IN
2,11,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,5,61.1.117.54,Bengaluru,Karnataka,IN
3,11,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,32,117.216.207.115,Tanjore,Tamil Nadu,IN
4,11,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,23,142.250.160.26,Chennai,Tamil Nadu,IN
5,11,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,20,216.239.43.135,Chennai,Tamil Nadu,IN
6,11,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,26,142.250.233.143,Mountain View,California,US
7,11,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,25,142.250.71.36,Chennai,Tamil Nadu,IN
0,12,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,2,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,12,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,6,203.129.218.109,Hubli,Karnataka,IN
2,12,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,11,61.1.117.54,Bengaluru,Karnataka,IN
3,12,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,26,117.216.207.115,Tanjore,Tamil Nadu,IN
4,12,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,22,142.250.160.26,Chennai,Tamil Nadu,IN
5,12,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,32,216.239.43.135,Chennai,Tamil Nadu,IN
6,12,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,26,142.250.233.143,Mountain View,California,US
7,12,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,25,142.250.71.36,Chennai,Tamil Nadu,IN
0,13,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,5,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,13,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,13,203.129.218.109,Hubli,Karnataka,IN
2,13,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,7,61.1.117.54,Bengaluru,Karnataka,IN
3,13,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,24,117.216.207.115,Tanjore,Tamil Nadu,IN
4,13,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,379,142.250.160.26,Chennai,Tamil Nadu,IN
5,13,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,19,216.239.43.135,Chennai,Tamil Nadu,IN
6,13,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,27,142.250.233.143,Mountain View,California,US
7,13,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,22,142.250.71.36,Chennai,Tamil Nadu,IN
0,14,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,5,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,14,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,13,203.129.218.109,Hubli,Karnataka,IN
2,14,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,7,61.1.117.54,Bengaluru,Karnataka,IN
3,14,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,24,117.216.207.115,Tanjore,Tamil Nadu,IN
4,14,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,26,142.250.160.26,Chennai,Tamil Nadu,IN
5,14,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,22,216.239.43.135,Chennai,Tamil Nadu,IN
6,14,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,27,142.250.233.143,Mountain View,California,US
7,14,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,22,142.250.71.36,Chennai,Tamil Nadu,IN
0,15,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,5,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,15,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,8,203.129.218.109,Hubli,Karnataka,IN
2,15,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,8,61.1.117.54,Bengaluru,Karnataka,IN
3,15,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,28,117.216.207.115,Tanjore,Tamil Nadu,IN
4,15,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,23,142.250.160.26,Chennai,Tamil Nadu,IN
5,15,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,20,216.239.43.135,Chennai,Tamil Nadu,IN
6,15,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,26,142.250.233.143,Mountain View,California,US
7,15,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,26,142.250.71.36,Chennai,Tamil Nadu,IN
0,16,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,2,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,16,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,7,203.129.218.109,Hubli,Karnataka,IN
2,16,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,6,61.1.117.54,Bengaluru,Karnataka,IN
3,16,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,25,117.216.207.115,Tanjore,Tamil Nadu,IN
4,16,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,22,142.250.160.26,Chennai,Tamil Nadu,IN
5,16,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,23,216.239.43.135,Chennai,Tamil Nadu,IN
6,16,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,31,142.250.233.143,Mountain View,California,US
7,16,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,25,142.250.71.36,Chennai,Tamil Nadu,IN
0,17,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,2,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,17,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,7,203.129.218.109,Hubli,Karnataka,IN
2,17,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,6,61.1.117.54,Bengaluru,Karnataka,IN
3,17,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,23,117.216.207.115,Tanjore,Tamil Nadu,IN
4,17,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,23,142.250.160.26,Chennai,Tamil Nadu,IN
5,17,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,32,216.239.43.135,Chennai,Tamil Nadu,IN
6,17,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,25,142.250.233.143,Mountain View,California,US
7,17,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,25,142.250.71.36,Chennai,Tamil Nadu,IN
0,18,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,5,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,18,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,6,203.129.218.109,Hubli,Karnataka,IN
2,18,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,7,61.1.117.54,Bengaluru,Karnataka,IN
3,18,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,21,142.250.160.26,Chennai,Tamil Nadu,IN
4,18,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,23,216.239.43.135,Chennai,Tamil Nadu,IN
5,18,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,26,142.250.233.143,Mountain View,California,US
6,18,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,25,142.250.71.36,Chennai,Tamil Nadu,IN
0,19,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,2,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,19,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,6,203.129.218.109,Hubli,Karnataka,IN
2,19,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,3,61.1.117.54,Bengaluru,Karnataka,IN
3,19,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,23,117.216.207.115,Tanjore,Tamil Nadu,IN
4,19,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,24,142.250.160.26,Chennai,Tamil Nadu,IN
5,19,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,23,216.239.43.135,Chennai,Tamil Nadu,IN
6,19,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,25,142.250.233.143,Mountain View,California,US
7,19,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,25,142.250.71.36,Chennai,Tamil Nadu,IN
0,20,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,5,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,20,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,6,203.129.218.109,Hubli,Karnataka,IN
2,20,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,6,61.1.117.54,Bengaluru,Karnataka,IN
3,20,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,23,117.216.207.115,Tanjore,Tamil Nadu,IN
4,20,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,24,142.250.160.26,Chennai,Tamil Nadu,IN
5,20,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,20,216.239.43.135,Chennai,Tamil Nadu,IN
6,20,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,26,142.250.233.143,Mountain View,California,US
7,20,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,25,142.250.71.36,Chennai,Tamil Nadu,IN
0,21,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,2,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,21,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,3,203.129.218.109,Hubli,Karnataka,IN
2,21,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,17,61.1.117.54,Bengaluru,Karnataka,IN
3,21,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,25,117.216.207.115,Tanjore,Tamil Nadu,IN
4,21,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,24,142.250.160.26,Chennai,Tamil Nadu,IN
5,21,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,20,216.239.43.135,Chennai,Tamil Nadu,IN
6,21,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,28,142.250.233.143,Mountain View,California,US
7,21,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,26,142.250.71.36,Chennai,Tamil Nadu,IN
0,22,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,3,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,22,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,8,203.129.218.109,Hubli,Karnataka,IN
2,22,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,24,61.1.117.54,Bengaluru,Karnataka,IN
3,22,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,23,117.216.207.115,Tanjore,Tamil Nadu,IN
4,22,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,23,142.250.160.26,Chennai,Tamil Nadu,IN
5,22,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,23,216.239.43.135,Chennai,Tamil Nadu,IN
6,22,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,23,142.250.233.143,Mountain View,California,US
7,22,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,22,142.250.71.36,Chennai,Tamil Nadu,IN
0,23,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,5,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,23,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,7,203.129.218.109,Hubli,Karnataka,IN
2,23,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,4,61.1.117.54,Bengaluru,Karnataka,IN
3,23,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,23,117.216.207.115,Tanjore,Tamil Nadu,IN
4,23,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,28,142.250.160.26,Chennai,Tamil Nadu,IN
5,23,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,21,216.239.43.135,Chennai,Tamil Nadu,IN
6,23,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,31,142.250.233.143,Mountain View,California,US
7,23,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,21,142.250.71.36,Chennai,Tamil Nadu,IN
0,24,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,9,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,24,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,7,203.129.218.109,Hubli,Karnataka,IN
2,24,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,5,61.1.117.54,Bengaluru,Karnataka,IN
3,24,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,23,117.216.207.115,Tanjore,Tamil Nadu,IN
4,24,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,24,142.250.160.26,Chennai,Tamil Nadu,IN
5,24,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,23,216.239.43.135,Chennai,Tamil Nadu,IN
6,24,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,26,142.250.233.143,Mountain View,California,US
7,24,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,25,142.250.71.36,Chennai,Tamil Nadu,IN
0,25,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,5,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,25,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,6,203.129.218.109,Hubli,Karnataka,IN
2,25,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,3,61.1.117.54,Bengaluru,Karnataka,IN
3,25,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,24,117.216.207.115,Tanjore,Tamil Nadu,IN
4,25,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,24,142.250.160.26,Chennai,Tamil Nadu,IN
5,25,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,20,216.239.43.135,Chennai,Tamil Nadu,IN
6,25,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,26,142.250.233.143,Mountain View,California,US
7,25,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,26,142.250.71.36,Chennai,Tamil Nadu,IN
0,26,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,2,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,26,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,4,203.129.218.109,Hubli,Karnataka,IN
2,26,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,8,61.1.117.54,Bengaluru,Karnataka,IN
3,26,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,23,117.216.207.115,Tanjore,Tamil Nadu,IN
